epoch,loss,ADE,FDE,uncertainty
5,0.5514138995481185,0.5058911150430931,1.0880576786749503,0.030294772985336536
10,0.5198726202973742,0.4599938790587818,1.0054998249692075,0.028203076553558384
15,0.5016308429345706,0.4475163419895312,0.9784819432917763,0.027917238128344145
20,0.4919343788588968,0.4402407660642091,0.9546561626827016,0.025523897748002233
25,0.48671592706678307,0.44518127382239875,0.9638423876727329,0.023326545315863128
30,0.47924413679785915,0.4312410907929434,0.9321885552914704,0.0246234792541466
35,0.47390420905981284,0.4349801325622727,0.9338874948375365,0.024343036221997703
40,0.4688650050466892,0.44555017770651506,0.9470597529674277,0.02340413254466565
45,0.46305119481116597,0.4340284038335085,0.9298645516967072,0.022691975270144587
50,0.4584503322528648,0.4186824537594529,0.8892437192008776,0.025116542182684713
55,0.45403583861094177,0.43950173811000937,0.9246662541347391,0.024811903271577593
60,0.4491559599287077,0.4275275672402452,0.9118588517693912,0.02332855611491729
65,0.4437283026151717,0.4378137120867477,0.930442363724989,0.022820497412741295
70,0.43942164833461067,0.4434542955721126,0.9448381944614298,0.021977515385814887
75,0.4364326203665803,0.43651089650743147,0.9290089388980585,0.02370430828827118
80,0.43253880129477673,0.42395625850733587,0.9012307378737365,0.025238805780998734
85,0.4285349868284636,0.42418581586988535,0.8984977325972389,0.023497626317240408
90,0.42268050158695786,0.4321064280017334,0.9179479850565686,0.023355117730234805
95,0.41997352432234053,0.42090889892595656,0.8935393298373503,0.024006018153330148
100,0.41729010451810594,0.43898580354802746,0.9273604280370124,0.02467844126958345
